administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
"Pôle des affaires internationales, de la coordination européenne et des enjeux technologiques du secteur financier - PAIET",SUTTER,Camille,Mme,"ingénieure en cheffe de la statistique, de l’économie et de la donnée",Cheffe du pôle,SI,Administration centrale (ou Ministère),
Bureau du maintien en conditions opérationnelles,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Sous-direction Financement des projets et des politiques de défense,BOUVAREL DELPY,Mathilde,Mme,administratrice de l'État,Sous-directrice,SI,Administration centrale (ou Ministère),
Sous-direction Financement des projets et des politiques de défense,MASSON,Anne-Brigitte,Mme,administratrice de l'État,Adjointe,SI,Administration centrale (ou Ministère),
Bureau SJCF 1D. Programmation des contrôles et analyse des données,CLABECQ,Gilles,M.,administrateur de l'État,Chef du bureau,SI,Administration centrale (ou Ministère),
Laboratoire national de métrologie et d'essais - Site de Nîmes,FARGIER,Éric,M.,,Responsable,SI,Établissement public,
Division de la communication institutionnelle et événementielle,DELORAS-PALMER,Clément,M.,,Chef de la division,SI,Institution,
Section du contrôle de gestion et de la modernisation,LEMIRE,Valéry,M.,,Chef de la section,SI,Administration centrale (ou Ministère),
Bureau Ingénierie et développement des compétences,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Sous-direction des politiques sociales et des conditions de travail,MAUBOUSSIN,Jean-Christophe,M.,administrateur de l'État,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction des politiques sociales et des conditions de travail,BUCHEL,Cécile,Mme,administratrice de l'État,Adjointe,SI,Administration centrale (ou Ministère),
Direction du contrôle des responsables publics,LELAQUET,Frédéric,M.,,Directeur,SI,Autorité administrative indépendante,
Direction du contrôle des responsables publics,GARRET,Fabien,M.,,Adjoint,SI,Autorité administrative indépendante,
Direction du contrôle des responsables publics,DÉLÉCRAY,Anne,Mme,,Adjointe,SI,Autorité administrative indépendante,
Département de l'action culturelle et éducative - Musée des Archives nationales,NAHON,Guillaume,M.,conservateur général du patrimoine,Chef du département,SI,Service à compétence nationale,
Bureau Média,BÉNÉVENT,Nicolas,M.,colonel,Chef du bureau,SI,Administration centrale (ou Ministère),
Service central automobile,,,,,Chef du service,SI,Administration centrale (ou Ministère),
"Bureau de la réglementation des fonctionnaires, des ouvriers et des contractuels",MALLÈVRE,François,M.,attaché principal d'administration de l'Etat,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau de la gestion technique immobilière - BGTI,JOURDAIN,Maxime,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
"Direction des publics, du pluralisme et de la cohésion sociale",,,,,Directeur,SI,Autorité administrative indépendante,
"Direction des publics, du pluralisme et de la cohésion sociale",SOARES-COUTO,Albin,M.,,Directeur adjoint,SI,Autorité administrative indépendante,
Section consulaire - Ambassade de France BULGARIE - Sofia,CAREAU,Cyril,M.,,Chef de la section consulaire,SI,Ambassade ou mission diplomatique,
Bureau Systèmes d'information et informatique de proximité,VANDEWYNCKELE,Olivier,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,SAUDUBRAY,Aymeric,M.,inspecteur général des services actifs de la police nationale,Directeur du cabinet du directeur général de la police nationale,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,HEMERY,Franck,M.,commissaire divisionnaire de police,Directeur adjoint du cabinet,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,CIULIN-LAHONDES,Frédérique,Mme,conseillère d'administration,Cheffe du cabinet,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,RIEU,Philippine,Mme,attachée d'administration de l'Etat,Cheffe adjointe du cabinet,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,AZALBERT,Fabienne,Mme,inspectrice générale de la police nationale,Cheffe d'état-major de la police nationale (EMPN),SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,FICHOT,Christophe,M.,commissaire général de police,Médiateur interne de la police nationale,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,BUCHIN,Philippe,M.,,Adjoint au médiateur interne de la police nationale,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,TALTAVULL,Jean-Luc,M.,commissaire divisionnaire de police,"Contrôleur général des services actifs de la police nationale, conseiller missions de police",SI,Administration centrale (ou Ministère),
Cabinet du directeur général de la police nationale,GALLAND,Edouard,M.,ingénieur en chef de l'armement,Conseiller technologies et numérique,SI,Administration centrale (ou Ministère),
Département des personnels des bibliothèques,BELASCAIN,Dominique,Mme,attachée d'administration de l'Etat hors classe,Cheffe du département,SI,Administration centrale (ou Ministère),
Département des personnels des bibliothèques,MALECK,Saamia,Mme,attachée principale d'administration de l'Etat,Adjointe,SI,Administration centrale (ou Ministère),
Cellule d'appui au pilotage des ressources,SÉVERAC,Christine,Mme,attachée statisticienne de l'INSEE,Cheffe de la cellule,SI,Administration centrale (ou Ministère),
Mission Stratégie de long terme,,,,,Chef de la mission,SI,Administration centrale (ou Ministère),
Collège Économie et financement,,,,,Coordonnateur,SI,Administration centrale (ou Ministère),
Collège Économie et financement,DURANTHON,Jean-Philippe,M.,inspecteur général de l'administration du développement durable,Coordonnateur,SI,Administration centrale (ou Ministère),
Direction des relations avec les épargnants et leur protection,MAYER,France,Mme,,Directrice,SI,Autorité administrative indépendante,
Bureau Organisation,GUÉNOT,Stéphanie,Mme,capitaine de vaisseau,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Sous-direction des banques et des financements d'intérêt général - BANCFIN,ALLEGRET,Pierre,M.,ingénieur en chef des mines,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction de la protection et de la restauration des écosystèmes terrestres,ROGIER,Philippe,M.,"ingénieur général des ponts, des eaux et des forêts",Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction de la protection et de la restauration des écosystèmes terrestres,VENDRYES,Caroline,Mme,"ingénieure en chef des ponts, des eaux et des forêts",Adjointe,SI,Administration centrale (ou Ministère),
Sous-direction de la protection et de la restauration des écosystèmes terrestres,DOMERGUE,Isabelle,Mme,"ingénieure en chef des ponts, des eaux et des forêts",Adjointe,SI,Administration centrale (ou Ministère),
Délégation des fonctionnaires internationaux,TOLSTOI,Natacha,Mme,secrétaire des affaires étrangères principale,Déléguée aux fonctionnaires internationaux,SI,Administration centrale (ou Ministère),
Délégation des fonctionnaires internationaux,SIVA,Marine,Mme,,Déléguée adjointe,SI,Administration centrale (ou Ministère),
Bureau Mondialisation et sécurité alimentaire,JACOBS,Sévrine,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
"Bureau Égalité, diversité, handicap",DOUCET-MARTINAGE,Isabelle,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
"Direction de l'habitat, de l'urbanisme et des paysages",BOTTEGHI,Damien,M.,conseiller d'État,Directeur,SI,Administration centrale (ou Ministère),
"Direction de l'habitat, de l'urbanisme et des paysages",OUVRARD,Anne-Emmanuelle,Mme,"ingénieure générale des ponts, des eaux et des forêts",Adjointe au directeur,SI,Administration centrale (ou Ministère),
"Direction de l'habitat, de l'urbanisme et des paysages",MONTRIEUX,Vincent,M.,administrateur de l'État,Adjoint au directeur,SI,Administration centrale (ou Ministère),
"Direction de l'habitat, de l'urbanisme et des paysages",BASTY,Antoine,M.,,Chef du cabinet,SI,Administration centrale (ou Ministère),
Service des données et études statistiques,WALRAET,Emmanuelle,Mme,"ingénieure de la statistique, de l’économie et de la donnée",Cheffe du service,SI,Administration centrale (ou Ministère),
Direction de projet de l'enregistrement et de la publicité foncière,CALMELS,Sophie,Mme,administratrice de l'État,Directrice du projet,SI,Administration centrale (ou Ministère),
Bureau du pilotage du système d'inspection du travail,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau des services fluviaux - TF2,BOULDOUYRÉ,Muriel,Mme,attachée d'administration de l'Etat hors classe,Cheffe du  bureau,SI,Administration centrale (ou Ministère),
Sous-direction des statistiques de l'énergie,MESQUI,Bérengère,Mme,inspectrice générale de l'INSEE,Sous-directrice,SI,Administration centrale (ou Ministère),
Sous-direction des statistiques de l'énergie,GRISLAIN-LETREMY,Céline,Mme,administratrice hors classe de l'INSEE,"Sous-directrice adjointe, en charge du pôle rénovation",SI,Administration centrale (ou Ministère),
Département de l'évaluation et des projets de modernisation,GOUHIER,Michel,M.,,Chef du département,SI,Administration centrale (ou Ministère),
Bureau de la réglementation technique de la construction et de l'Outre-mer,PACHE,Yannick,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
Mission de l'environnement,LE FOLL,Stéphane,M.,"ingénieur des ponts, des eaux et des forêts",Chef de la mission,SI,Administration centrale (ou Ministère),
Mission de l'environnement,TRASSART,Philippe,M.,,Adjoint,SI,Administration centrale (ou Ministère),
Sous-direction Performances et Activités,,,,,Sous-directeur,SI,Administration centrale (ou Ministère),
"Sous-direction de l'évaluation, de la prospective et de la dépense de l'État",GUILLET,Étienne,M.,administrateur de l'État,Sous-directeur,SI,Administration centrale (ou Ministère),
"Sous-direction de l'évaluation, de la prospective et de la dépense de l'État",,,,,Adjoint,SI,Administration centrale (ou Ministère),
Bureau des systèmes d'information financière,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau Explosifs,LOUAVER,Jean-François,M.,administrateur de l'État,Chef du bureau,SI,Administration centrale (ou Ministère),
Unité de management Horus,BURIN DES ROZIERS,Jacqueline,Mme,ingénieure générale de l'armement,Directrice de l'unité,SI,Administration centrale (ou Ministère),
Inspecteur général du service de santé des armées,,,,,Inspecteur général du service de santé des armées,SI,Administration centrale (ou Ministère),
Inspecteur général du service de santé des armées,,,,,Adjoint,SI,Administration centrale (ou Ministère),
Direction de l'Afrique du Nord et du Moyen-Orient,ROIGNAN,Romaric,M.,ministre plénipotentiaire,Directeur,SI,Administration centrale (ou Ministère),
Direction de l'Afrique du Nord et du Moyen-Orient,ANDRES,Alexis,M.,administrateur de l'État,Directeur adjoint,SI,Administration centrale (ou Ministère),
Direction des services et des réseaux,NYFFENEGGER,Isabelle,Mme,conservatrice générale des bibliothèques,Directrice,SI,Établissement public,
Agence de services et de paiement - Direction interrégionale Antilles - Guyane,HEBERT,Nathalie,Mme,,Directrice interrégionale,SI,Établissement public,
Sous-direction de l'inclusion scolaire et de la vie des établissements,PELLETIER,Marc,M.,administrateur de l'État,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction de l'inclusion scolaire et de la vie des établissements,,,,,Adjoint,SI,Administration centrale (ou Ministère),
Conseil stratégique de la recherche,LECORNU,Sébastien,M.,,Président,SI,"Conseil, comité, commission (organisme consultatif)",
Conseil stratégique de la recherche,COLOMBANI,Pascal,M.,,Vice-président,SI,"Conseil, comité, commission (organisme consultatif)",
Bureau de l'exploitation des sites de Matignon,HEBIR,Mehdi,M.,,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau des populations,BUSSIÈRE,Caroline,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Sous-direction de l'Asie du Sud-Est,HOURS,Marie,Mme,administratrice de l'État,Sous-directrice,SI,Administration centrale (ou Ministère),
Sous-direction technique,PILLON,Philippe,M.,colonel,Sous-directeur,SI,Administration centrale (ou Ministère),
"Sous-direction du recrutement, des parcours et des compétences",BONENFANT-HOUYVET,Anne,Mme,administratrice de l'État,Sous-directrice,SI,Administration centrale (ou Ministère),
"Sous-direction du recrutement, des parcours et des compétences",COLLIN,Anne,Mme,,Adjointe à la sous-directrice,SI,Administration centrale (ou Ministère),
"Division Concepts, méthodes et évaluation des comptes nationaux",HAUSEUX,Yaëlle,Mme,,Chef de la division,SI,Administration centrale (ou Ministère),
